GIS_District	cluster	no	target_fid	fin_kheseg	pair	num_in_pair	odd_pair	rand	treatment
"BZ"	2	"BZ-5664"	5664	"BZ-2-2"	1	2	0	.6120543	1
"BZ"	2	"BZ-14343-1B"	14343	"BZ-2-4"	1	2	0	.6929095	0
"BZ"	2	"BZ-32681-1B"	32681	"BZ-2-1"	2	2	0	.1180111	1
"BZ"	2	"BZ-2367-1B"	2367	"BZ-2-3"	2	2	0	.7295884	0
"BZ"	2	"BZ-13493-3B"	13493	"BZ-2-12"	3	2	0	.0959988	1
"BZ"	2	"BZ-27151-3B"	27151	"BZ-2-5"	3	2	0	.511132	0
"BZ"	2	"BZ-31771-1B"	31771	"BZ-2-1a"	4	2	0	.0496386	1
"BZ"	2	"BZ-17017-1B"	17017	"BZ-2-6b"	4	2	0	.55904	0
"BZ"	2	"BZ-25949-1A"	25949	"BZ-2-6a"	5	1	1	.3108717	1
"BZ"	4	"BZ-27528-3B"	27528	"BZ-4-7"	1	2	0	.3438776	1
"BZ"	4	"BZ-32584"	32584	"BZ-4-9"	1	2	0	.4490843	0
"BZ"	5	"BZ-6445-1B"	6445	"BZ-5-4"	1	2	0	.1032813	1
"BZ"	5	"BZ-6365"	6365	"BZ-5-3"	1	2	0	.6236287	0
"BZ"	5	"BZ-6554-1B"	6554	"BZ-5-5"	2	2	0	.4676087	1
"BZ"	5	"BZ-11986-1B"	11986	"BZ-5-2"	2	2	0	.608306	0
"BZ"	5	"BZ-21623"	21623	"BZ-5-1"	3	1	1	.6327036	0
"BZ"	8	"BZ-10517"	10517	"BZ-8-4"	1	2	0	.3958065	1
"BZ"	8	"BZ-5193-1B"	5193	"BZ-8-9"	1	2	0	.9629068	0
"BZ"	8	"BZ-20044-1B"	20044	"BZ-8-1"	2	2	0	.4255631	1
"BZ"	8	"BZ-21495-1B"	21495	"BZ-8-5"	2	2	0	.635373	0
"BZ"	8	"BZ-12016-1B"	12016	"BZ-8-3"	3	2	0	.262072	1
"BZ"	8	"BZ-28090-1B"	28090	"BZ-8-11"	3	2	0	.6518908	0
"BZ"	8	"BZ-17161-3B"	17161	"BZ-8-2"	4	1	1	.9138479	0
"BZ"	9	"BZ-1809-1B"	1809	"BZ-9-8"	1	2	0	.776515	1
"BZ"	9	"BZ-10784-1B"	10784	"BZ-9-4j"	1	2	0	.8087913	0
"BZ"	9	"BZ-29208-1B"	29208	"BZ-9-6"	2	2	0	.6139245	1
"BZ"	9	"BZ-14515-1B"	14515	"BZ-9-3"	2	2	0	.6262365	0
"BZ"	9	"BZ-9784-3B"	9784	"BZ-9-1"	3	2	0	.0097129	1
"BZ"	9	"BZ-1343-1B"	1343	"BZ-9-2"	3	2	0	.6908848	0
"BZ"	9	"BZ-4588-1B"	4588	"BZ-9-7"	4	2	0	.2490408	1
"BZ"	9	"BZ-5459-1B"	5459	"BZ-9-5"	4	2	0	.534163	0
"BZ"	10	"BZ-20826-1B"	20826	"BZ-10-2"	1	2	0	.4337308	1
"BZ"	10	"BZ-1540-1B"	1540	"BZ-10-1"	1	2	0	.8410503	0
"BZ"	10	"BZ-22208-1B"	22208	"BZ-10-5"	2	2	0	.1523473	1
"BZ"	10	"BZ-6866-1B"	6866	"BZ-10-3"	2	2	0	.8022479	0
"BZ"	11	"BZ-10505"	10505	"BZ-11-k"	1	2	0	.417752	1
"BZ"	11	"BZ-3595-3B"	3595	"BZ-11-l"	1	2	0	.5939875	0
"BZ"	11	"BZ-30775-2B"	30775	"BZ-11-j"	2	2	0	.127487	1
"BZ"	11	"BZ-31864"	31864	"BZ-11-n"	2	2	0	.4127268	0
"BZ"	11	"BZ-1566-3B"	1566	"BZ-11-m"	3	2	0	.2835769	1
"BZ"	11	"BZ-33616-1B"	33616	"BZ-11-o"	3	2	0	.9192619	0
"BZ"	12	"BZ-2671-1B"	2671	"BZ-12-7"	1	2	0	.3730401	1
"BZ"	12	"BZ-6029"	6029	"BZ-12-2"	1	2	0	.994095	0
"BZ"	12	"BZ-6337-1B"	6337	"BZ-12-6"	2	2	0	.3818168	1
"BZ"	12	"BZ-28177-1B"	28177	"BZ-12-1"	2	2	0	.8257782	0
"BZ"	12	"BZ-18952"	18952	"BZ-12-3"	3	2	0	.3130293	1
"BZ"	12	"BZ-28805-1B"	28805	"BZ-12-8"	3	2	0	.524294	0
"BZ"	12	"BZ-1190"	1190	"BZ-12-5"	4	2	0	.5709311	1
"BZ"	12	"BZ-8327-1B"	8327	"BZ-12-4"	4	2	0	.6633908	0
"BZ"	13	"BZ-4503"	4503	"BZ-13-6j"	1	2	0	.1570233	1
"BZ"	13	"BZ-882-1B"	882	"BZ-13-6k"	1	2	0	.4509252	0
"BZ"	13	"BZ-4462-1B"	4462	"BZ-13-2"	2	2	0	.7241421	1
"BZ"	13	"BZ-26453-1B"	26453	"BZ-13-4"	2	2	0	.8771139	0
"BZ"	13	"BZ-14605-1B"	14605	"BZ-13-1"	3	2	0	.7505002	1
"BZ"	13	"BZ-6183-1B"	6183	"BZ-13-5"	3	2	0	.8564935	0
"BZ"	14	"BZ-9958-2A"	9958	"BZ-14-6"	1	2	0	.4712509	1
"BZ"	14	"BZ-13462-1A"	13462	"BZ-14-2j"	1	2	0	.6720904	0
"BZ"	14	"BZ-1807"	1807	"BZ-14-5"	2	2	0	.0657823	1
"BZ"	14	"BZ-5971-1A"	5971	"BZ-14-3"	2	2	0	.9576581	0
"BZ"	14	"BZ-6285-1B"	6285	"BZ-14-4"	3	1	1	.7584732	0
"BZ"	17	"BZ-22403-3B"	22403	"BZ-17-5"	1	2	0	.456794	1
"BZ"	17	"BZ-15305-1B"	15305	"BZ-17-2"	1	2	0	.5866839	0
"BZ"	17	"BZ-26351-3B"	26351	"BZ-17-7"	2	2	0	.3291671	1
"BZ"	17	"BZ-17430-1B"	17430	"BZ-17-1"	2	2	0	.8229349	0
"BZ"	17	"BZ-5034-1B"	5034	"BZ-17-6"	3	2	0	.1608216	1
"BZ"	17	"BZ-19514-1B"	19514	"BZ-17-4"	3	2	0	.1638504	0
"BZ"	17	"BZ-8451-3A"	8451	"BZ-17-8"	4	2	0	.1836828	1
"BZ"	17	"BZ-29468"	29468	"BZ-17-3"	4	2	0	.9279556	0
"BZ"	19	"BZ-8070-1B"	8070	"BZ-19-4a"	1	2	0	.3967874	1
"BZ"	19	"BZ-16403-1A"	16403	"BZ-19-5"	1	2	0	.4320733	0
"BZ"	19	"BZ-33917-1A"	33917	"BZ-19-4"	2	2	0	.118566	1
"BZ"	19	"BZ-8489-1B"	8489	"BZ-19-6a"	2	2	0	.2619596	0
"BZ"	19	"BZ-12116-3B"	12116	"BZ-19-5a"	3	2	0	.6373628	1
"BZ"	19	"BZ-22090-1B"	22090	"BZ-19-6"	3	2	0	.896725	0
"BZ"	20	"BZ-5144-3B"	5144	"BZ-20-p"	1	2	0	.5696763	1
"BZ"	20	"BZ-10414"	10414	"BZ-20-j"	1	2	0	.9183373	0
"BZ"	20	"BZ-1353-3B"	1353	"BZ-20-k"	2	2	0	.1923767	1
"BZ"	20	"BZ-1063-3B"	1063	"BZ-20-m"	2	2	0	.8257376	0
"BZ"	20	"BZ-23009"	23009	"BZ-20-l"	3	2	0	.0769984	1
"BZ"	20	"BZ-1786-1B"	1786	"BZ-20-o"	3	2	0	.2612931	0
"BZ"	20	"BZ-10939"	10939	"BZ-20-q"	4	2	0	.140588	1
"BZ"	20	"BZ-30275"	30275	"BZ-20-n"	4	2	0	.1414053	0
"BZ"	21	"BZ-4098-3B"	4098	"BZ-21-12"	1	2	0	.5113735	1
"BZ"	21	"BZ-7055-3B"	7055	"BZ-21-9"	1	2	0	.7709624	0
"BZ"	21	"BZ-31350-1B"	31350	"BZ-21-2"	2	2	0	.0698273	1
"BZ"	21	"BZ-2749-3A"	2749	"BZ-21-5"	2	2	0	.6011412	0
"BZ"	21	"BZ-31724-3B"	31724	"BZ-21-4"	3	2	0	.0308527	1
"BZ"	21	"BZ-10147-1B"	10147	"BZ-21-11"	3	2	0	.1604914	0
"BZ"	21	"BZ-31383-1B"	31383	"BZ-21-10"	4	2	0	.7876437	1
"BZ"	21	"BZ-9038-1B"	9038	"BZ-21-7"	4	2	0	.9747374	0
"BZ"	21	"BZ-2995-1B"	2995	"BZ-21-6"	5	2	0	.7829615	1
"BZ"	21	"BZ-10940-1B"	10940	"BZ-21-8"	5	2	0	.9256955	0
"BZ"	21	"BZ-26932"	26932	"BZ-21-3"	6	2	0	.5500571	1
"BZ"	21	"BZ-5309"	5309	"BZ-21-1"	6	2	0	.7033948	0
"BZ"	22	"BZ-29920-1B"	29920	"BZ-22-j"	1	2	0	.2468015	1
"BZ"	22	"BZ-32322"	32322	"BZ-22-k"	1	2	0	.5716608	0
"BZ"	22	"BZ-15681-3B"	15681	"BZ-22-1k"	2	2	0	.198641	1
"BZ"	22	"BZ-25113-1B"	25113	"BZ-22-4"	2	2	0	.920974	0
"BZ"	22	"BZ-12605-1B"	12605	"BZ-22-2j"	3	2	0	.4955084	1
"BZ"	22	"BZ-510-1B"	510	"BZ-22-3"	3	2	0	.5726666	0
"BZ"	22	"BZ-18342-1B"	18342	"BZ-22-1j"	4	2	0	.2608205	1
"BZ"	22	"BZ-8482"	8482	"BZ-22-2k"	4	2	0	.864747	0
"BZ"	23	"BZ-31812-1B"	31812	"BZ-23-5j"	1	2	0	.2837664	1
"BZ"	23	"BZ-25144-1B"	25144	"BZ-23-2j"	1	2	0	.6877088	0
"BZ"	23	"BZ-31066-1B"	31066	"BZ-23-6j"	2	2	0	.0775522	1
"BZ"	23	"BZ-4976-1B"	4976	"BZ-23-5k"	2	2	0	.6730664	0
"BZ"	23	"BZ-14888"	14888	"BZ-23-6k"	3	2	0	.2419742	1
"BZ"	23	"BZ-9799"	9799	"BZ-23-6l"	3	2	0	.3057786	0
"BZ"	23	"BZ-4783-1B"	4783	"BZ-23-4"	4	2	0	.5084756	1
"BZ"	23	"BZ-13753-1B"	13753	"BZ-23-2k"	4	2	0	.7711464	0
"BZ"	23	"BZ-3509"	3509	"BZ-23-1"	5	2	0	.2203151	1
"BZ"	23	"BZ-4994-1B"	4994	"BZ-23-3"	5	2	0	.7522297	0
"BZ"	24	"BZ-29629-1B"	29629	"BZ-24-o"	1	2	0	.1155039	1
"BZ"	24	"BZ-11854-1B"	11854	"BZ-24-n"	1	2	0	.9188372	0
"BZ"	24	"BZ-7459-1B"	7459	"BZ-24-l"	2	2	0	.7690552	1
"BZ"	24	"BZ-9428-1B"	9428	"BZ-24-k"	2	2	0	.9589146	0
"BZ"	24	"BZ-1740"	1740	"BZ-24-j"	3	2	0	.3996905	1
"BZ"	24	"BZ-3892-1B"	3892	"BZ-24-q"	3	2	0	.8404195	0
"BZ"	24	"BZ-9104-3B"	9104	"BZ-24-m"	4	2	0	.304196	1
"BZ"	24	"BZ-29671-1B"	29671	"BZ-24-p"	4	2	0	.6285614	0
