GIS_District	cluster	no	target_fid	fin_kheseg	pair	num_in_pair	odd_pair	rand	treatment
"CH"	7	"CH-7621-3A"	7621	"CH-7-4"	1	2	0	.3081502	1
"CH"	7	"CH-11422-1B"	11422	"CH-7-11j"	1	2	0	.6706492	0
"CH"	7	"CH-3984-1B"	3984	"CH-7-9"	2	2	0	.213546	1
"CH"	7	"CH-4730-1B"	4730	"CH-7-1"	2	2	0	.2296748	0
"CH"	7	"CH-8846-1B"	8846	"CH-7-12"	3	2	0	.4640866	1
"CH"	7	"CH-20148-1B"	20148	"CH-7-11k"	3	2	0	.9835635	0
"CH"	7	"CH-1455-1B"	1455	"CH-7-7"	4	2	0	.0135765	1
"CH"	7	"CH-7948-3B"	7948	"CH-7-6"	4	2	0	.4368445	0
"CH"	7	"CH-4302-3B"	4302	"CH-7-8"	5	2	0	.2329705	1
"CH"	7	"CH-7303-1B"	7303	"CH-7-3"	5	2	0	.7881835	0
"CH"	7	"CH-13445-1A"	13445	"CH-7-5"	6	2	0	.2124886	1
"CH"	7	"CH-6403-1B"	6403	"CH-7-2"	6	2	0	.6762589	0
"CH"	8	"CH-5083-3A"	5083	"CH-8-5"	1	2	0	.6187363	1
"CH"	8	"CH-5216-1B"	5216	"CH-8-6"	1	2	0	.6905954	0
"CH"	8	"CH-1012"	1012	"CH-8-2"	2	2	0	.1165283	1
"CH"	8	"CH-7489-1B"	7489	"CH-8-1"	2	2	0	.8590165	0
"CH"	8	"CH-10087-1B"	10087	"CH-8-7"	3	2	0	.0660857	1
"CH"	8	"CH-9500-1B"	9500	"CH-8-4"	3	2	0	.1668575	0
"CH"	8	"CH-3828-1B"	3828	"CH-8-3"	4	1	1	.9414421	0
"CH"	9	"CH-16897-1B"	16897	"CH-9-10"	1	2	0	.503064	1
"CH"	9	"CH-2853-1B"	2853	"CH-9-1"	1	2	0	.8789735	0
"CH"	9	"CH-652-1B"	652	"CH-9-4"	2	2	0	.5888717	1
"CH"	9	"CH-18011-1B"	18011	"CH-9-6"	2	2	0	.7312559	0
"CH"	9	"CH-6711-1B"	6711	"CH-9-3"	3	2	0	.0008084	1
"CH"	9	"CH-1074"	1074	"CH-9-5"	3	2	0	.5323744	0
"CH"	10	"CH-5592-3B"	5592	"CH-10-9"	1	2	0	.0190818	1
"CH"	10	"CH-2141"	2141	"CH-10-5"	1	2	0	.7764344	0
"CH"	10	"CH-6695"	6695	"CH-10-10"	2	2	0	.1217544	1
"CH"	10	"CH-14793-1B"	14793	"CH-10-6"	2	2	0	.7457684	0
"CH"	10	"CH-548-1B"	548	"CH-10-4"	3	2	0	.1474263	1
"CH"	10	"CH-9249-1A"	9249	"CH-10-7"	3	2	0	.8619875	0
"CH"	10	"CH-6574-1B"	6574	"CH-10-2"	4	2	0	.3242181	1
"CH"	10	"CH-3311"	3311	"CH-10-1"	4	2	0	.3523185	0
"CH"	10	"CH-15129-1B"	15129	"CH-10-8"	5	1	1	.0843009	1
"CH"	11	"CH-10395-1B"	10395	"CH-11-5"	1	2	0	.1310859	1
"CH"	11	"CH-2610-1B"	2610	"CH-11-7"	1	2	0	.9034299	0
"CH"	11	"CH-14688-1A"	14688	"CH-116-j"	2	2	0	.2706999	1
"CH"	11	"CH-17304-1B"	17304	"CH-11-4"	2	2	0	.3834884	0
"CH"	11	"CH-331-1B"	331	"CH-11-2"	3	2	0	.1706456	1
"CH"	11	"CH-11224-1B"	11224	"CH-11-1"	3	2	0	.6169917	0
"CH"	12	"CH-19105-1B"	19105	"CH-12-14"	1	2	0	.1663173	1
"CH"	12	"CH-3744-1B"	3744	"CH-12-8"	1	2	0	.7786875	0
"CH"	12	"CH-19172-3B"	19172	"CH-12-7"	2	2	0	.2425268	1
"CH"	12	"CH-19068-1B"	19068	"CH-12-10"	2	2	0	.8526049	0
"CH"	12	"CH-9366-1B"	9366	"CH-12-13"	3	2	0	.1438767	1
"CH"	12	"CH-207-1B"	207	"CH-12-3"	3	2	0	.786566	0
"CH"	12	"CH-16777"	16777	"CH-12-9"	4	2	0	.1952274	1
"CH"	12	"CH-14166-1B"	14166	"CH-12-12"	4	2	0	.2739181	0
"CH"	12	"CH-18537-3B"	18537	"CH-12-2"	5	2	0	.1849936	1
"CH"	12	"CH-17463"	17463	"CH-12-1"	5	2	0	.7406316	0
"CH"	12	"CH-9713-1B"	9713	"CH-12-11"	6	2	0	.0693222	1
"CH"	12	"CH-10599"	10599	"CH-12-4"	6	2	0	.6878672	0
"CH"	12	"CH-9195-1B"	9195	"CH-12-6"	7	2	0	.1158327	1
"CH"	12	"CH-17459"	17459	"CH-12-5"	7	2	0	.9280738	0
"CH"	13	"CH-7676-1B"	7676	"CH-13-11"	1	2	0	.020709	1
"CH"	13	"CH-14439"	14439	"CH-13-1"	1	2	0	.7259385	0
"CH"	13	"CH-19045"	19045	"CH-13-6"	2	2	0	.1946603	1
"CH"	13	"CH-136"	136	"CH-13-7"	2	2	0	.3389436	0
"CH"	13	"CH-17399-1B"	17399	"CH-13-5"	3	2	0	.0726158	1
"CH"	13	"CH-20-1B"	20	"CH-13-2"	3	2	0	.7458746	0
"CH"	13	"CH-1037-1A"	1037	"CH-13-3"	4	2	0	.41673	1
"CH"	13	"CH-9804-1B"	9804	"CH-13-9"	4	2	0	.9122632	0
"CH"	13	"CH-11202-1B"	11202	"CH-13-10"	5	1	1	.1291173	1
"CH"	14	"CH-12989"	12989	"CH-14-1"	1	2	0	.581764	1
"CH"	14	"CH-17059"	17059	"CH-14-9"	1	2	0	.7361726	0
"CH"	14	"CH-3664"	3664	"CH-14-8"	2	2	0	.1642148	1
