GIS_District	cluster	no	targetid	fin_heseg	triplet	num_in_triplet	odd_triplet	rand	treatment
"DA"	"DA_1"	"DA-1486-1?"	"1486"	"Darkhan_19"	1	3	0	.0743444	1
"DA"	"DA_1"	"DA-2085-1?"	"2085"	"Darkhan_1700"	1	3	0	.2235292	1
"DA"	"DA_1"	"D?-1770-1?"	"1770"	"Darkhan_22"	1	3	0	.9381645	0
"DA"	"DA_1"	"DA-606-1?"	"606"	"Darkhan_23"	2	3	0	.3836035	1
"DA"	"DA_1"	"DA-1022-1?"	"1022"	"Darkhan_15"	2	3	0	.6140912	1
"DA"	"DA_1"	"DA-1628-1?"	"1628"	"Darkhan_10"	2	3	0	.7596613	0
"DA"	"DA_1"	"DA-1161-1?"	"1161"	"Darkhan_16"	3	3	0	.125207	1
"DA"	"DA_1"	"DA-1676-1?"	"1676"	"Darkhan_2200"	3	3	0	.5459143	1
"DA"	"DA_1"	"DA-785-1?"	"785"	"Darkhan_24"	3	3	0	.6399937	0
"DA"	"DA_1"	"DA-2055"	"2055"	"Darkhan_7"	4	3	0	.5006836	1
"DA"	"DA_1"	"D?-7349-3?"	"7349"	"Darkhan_9"	4	3	0	.7616807	1
"DA"	"DA_1"	"DA-78-1?"	"78"	"Darkhan_21"	4	3	0	.8849043	0
"DA"	"DA_1"	"DA-2657"	"2657"	"Darkhan_2500"	5	3	0	.462357	1
"DA"	"DA_1"	"D?-1059-1?"	"1059"	"Darkhan_2600"	5	3	0	.6135932	1
"DA"	"DA_1"	"D?-1928-1?"	"1928"	"Darkhan_8"	5	3	0	.9192296	0
"DA"	"DA_1"	"DA-474-1?"	"474"	"Darkhan_20"	6	3	0	.2137172	1
"DA"	"DA_1"	"DA-389"	"389"	"Darkhan_6"	6	3	0	.6324534	1
"DA"	"DA_1"	"DA-1482-1?"	"1482"	"Darkhan_14"	6	3	0	.6848633	0
"DA"	"DA_1"	"DA-1355"	"1355"	"Darkhan_25"	7	3	0	.0832402	1
"DA"	"DA_1"	"DA-1586-1?"	"1586"	"Darkhan_17"	7	3	0	.6978915	1
"DA"	"DA_1"	"D?-1902-1?"	"1902"	"Darkhan_27"	7	3	0	.9976249	0
"DA"	"DA_1"	"D?-1886-3?"	"1886"	"Darkhan_1300"	8	3	0	.1594992	1
"DA"	"DA_1"	"DA-1027-3?"	"1027"	"Darkhan_12"	8	3	0	.5562508	1
"DA"	"DA_1"	"DA-1554-1?"	"1554"	"Darkhan_26"	8	3	0	.6716108	0
"DA"	"DA_1"	"D?-7455-1?"	"7455"	"Darkhan_13"	9	3	0	.1729124	1
"DA"	"DA_1"	"DA-239-1?"	"239"	"Darkhan_18"	9	3	0	.1800743	1
"DA"	"DA_1"	"DA-594-1?"	"594"	"Darkhan_11"	9	3	0	.7553418	0
"DA"	"DA_2"	"DA-2680-1?"	"2680"	"Darkhan_105"	1	3	0	.0487343	1
"DA"	"DA_2"	"D?-7548-2?"	"7548"	"Darkhan_2"	1	3	0	.3159216	1
"DA"	"DA_2"	"DA-2324"	"2324"	"Darkhan_400"	1	3	0	.7757912	0
"DA"	"DA_2"	"DA-1287"	"1287"	"Darkhan_5"	2	3	0	.4405364	1
"DA"	"DA_2"	"DA-1234-1?"	"1234"	"Darkhan_500"	2	3	0	.6445657	1
"DA"	"DA_2"	"DA-623-2?"	"623"	"Darkhan_4"	2	3	0	.6590497	0
"DA"	"DA_2"	"DA-7366"	"7366"	"Darkhan_1"	3	3	0	.0205648	1
"DA"	"DA_2"	"D?-6973-3?"	"6973"	"Darkhan_3"	3	3	0	.2081017	1
"DA"	"DA_2"	"DA-2580"	"2580"	"Darkhan_200"	3	3	0	.6995308	0
