GIS_District	cluster	no	targetid	fin_heseg	triplet	num_in_triplet	odd_triplet	rand	treatment
"OR"	"OR_1"	"OR-380-1B"	"380"	"Erdenet_93"	1	3	0	.0378127	1
"OR"	"OR_1"	"OR-13220-1?"	"13220"	"Erdenet_91"	1	3	0	.2950821	1
"OR"	"OR_1"	"OR-710"	"710"	"Erdenet_104"	1	3	0	.6894393	0
"OR"	"OR_1"	"OR-226-1?"	"226"	"Erdenet_89"	2	3	0	.0852505	1
"OR"	"OR_1"	"OR-537"	"537"	"Erdenet_90"	2	3	0	.1697638	1
"OR"	"OR_1"	"OR-304-1B"	"304"	"Erdenet_92"	2	3	0	.9807194	0
"OR"	"OR_1"	"OR-11248"	"11248"	"Erdenet_94"	3	1	1	.9056389	0
"OR"	"OR_2"	"OR-1020"	"1020"	"Erdenet_83"	1	3	0	.11652	1
"OR"	"OR_2"	"OR-911-1?"	"911"	"Erdenet_85"	1	3	0	.2453548	1
"OR"	"OR_2"	"OR-638-1?"	"638"	"Erdenet_81"	1	3	0	.7416528	0
"OR"	"OR_2"	"OR-982-1?"	"982"	"Erdenet_82"	2	2	1	.0713556	1
"OR"	"OR_2"	"OR-1206"	"1206"	"Erdenet_84"	2	2	1	.4090652	1
"OR"	"OR_3"	"OR-12749-1?"	"12749"	"Erdenet_73"	1	3	0	.0254609	1
"OR"	"OR_3"	"OR-7894-1?"	"7894"	"Erdenet_60"	1	3	0	.5689409	1
"OR"	"OR_3"	"OR-4030"	"4030"	"Erdenet_23"	1	3	0	.7464797	0
"OR"	"OR_3"	"OR-7145-1?"	"7145"	"Erdenet_59"	2	3	0	.2030293	1
"OR"	"OR_3"	"OR-12821"	"12821"	"Erdenet_98"	2	3	0	.8877315	1
"OR"	"OR_3"	"OR-5476"	"5476"	"Erdenet_15"	2	3	0	.9522476	0
"OR"	"OR_3"	"OR-7091-1B"	"7091"	"Erdenet_58"	3	3	0	.3802098	1
"OR"	"OR_3"	"OR-11541-1?"	"11541"	"Erdenet_68"	3	3	0	.5590839	1
"OR"	"OR_3"	"OR-9972-1B"	"9972"	"Erdenet_53"	3	3	0	.6306912	0
"OR"	"OR_3"	"OR-7645-1B"	"7645"	"Erdenet_67"	4	3	0	.7119144	1
"OR"	"OR_3"	"OR-10395-1?"	"10395"	"Erdenet_46"	4	3	0	.7760651	1
"OR"	"OR_3"	"OR-12172"	"12172"	"Erdenet_78"	4	3	0	.7943873	0
"OR"	"OR_3"	"OR-6034-1?"	"6034"	"Erdenet_36"	5	3	0	.0483808	1
"OR"	"OR_3"	"?R-8063-1?"	"8063"	"Erdenet_65"	5	3	0	.6361236	1
"OR"	"OR_3"	"OR-11509-1?"	"11509"	"Erdenet_66"	5	3	0	.6438092	0
"OR"	"OR_3"	"OR-3460-1?"	"3460"	"Erdenet_25"	6	3	0	.0019191	1
"OR"	"OR_3"	"OR-7397"	"7397"	"Erdenet_75"	6	3	0	.4266075	1
"OR"	"OR_3"	"OR-6192"	"6192"	"Erdenet_38"	6	3	0	.5385472	0
"OR"	"OR_3"	"OR-8812-3?"	"8812"	"Erdenet_77"	7	3	0	.0507304	1
"OR"	"OR_3"	"OR-11624-1?"	"11624"	"Erdenet_70"	7	3	0	.0540274	1
"OR"	"OR_3"	"OR-10045-1B"	"10045"	"Erdenet_54"	7	3	0	.3144379	0
"OR"	"OR_3"	"OR-10033"	"10033"	"Erdenet_55"	8	3	0	.2182979	1
"OR"	"OR_3"	"OR-13022"	"13022"	"Erdenet_16"	8	3	0	.6229503	1
"OR"	"OR_3"	"OR-6316"	"6316"	"Erdenet_30"	8	3	0	.8013463	0
"OR"	"OR_3"	"OR-9877-3B"	"9877"	"Erdenet_50"	9	3	0	.0479716	1
"OR"	"OR_3"	"OR-10994-3B"	"10994"	"Erdenet_19"	9	3	0	.2245901	1
"OR"	"OR_3"	"OR-8754"	"8754"	"Erdenet_79"	9	3	0	.9508772	0
"OR"	"OR_3"	"OR-10184-1?"	"10184"	"Erdenet_97"	10	3	0	.1582336	1
"OR"	"OR_3"	"OR-8207"	"8207"	"Erdenet_71"	10	3	0	.2823018	1
"OR"	"OR_3"	"OR-10491-1?"	"10491"	"Erdenet_44"	10	3	0	.3629901	0
"OR"	"OR_3"	"OR-10982-1?"	"10982"	"Erdenet_43"	11	3	0	.0526614	1
"OR"	"OR_3"	"OR-6988-1?"	"6988"	"Erdenet_57"	11	3	0	.213193	1
"OR"	"OR_3"	"?R-7314-1?"	"7314"	"Erdenet_72"	11	3	0	.3581814	0
"OR"	"OR_3"	"?R-9396-1?"	"9396"	"Erdenet_95"	12	3	0	.6671894	1
"OR"	"OR_3"	"?R-3978-2?"	"3978"	"Erdenet_26"	12	3	0	.7112851	1
"OR"	"OR_3"	"?R-9595-3?"	"9595"	"Erdenet_52"	12	3	0	.8897576	0
"OR"	"OR_3"	"OR-7806-1?"	"7806"	"Erdenet_61"	13	3	0	.6567476	1
"OR"	"OR_3"	"OR-8985-1B"	"8985"	"Erdenet_76"	13	3	0	.7506096	1
"OR"	"OR_3"	"OR-6632-1?"	"6632"	"Erdenet_29"	13	3	0	.9816146	0
"OR"	"OR_3"	"OR-5509-1B"	"5509"	"Erdenet_32"	14	3	0	.3320432	1
"OR"	"OR_3"	"OR-3615"	"3615"	"Erdenet_22"	14	3	0	.8894921	1
"OR"	"OR_3"	"?R-7352-1?"	"7352"	"Erdenet_74"	14	3	0	.9796101	0
"OR"	"OR_3"	"OR-10775-1?"	"10775"	"Erdenet_40"	15	3	0	.3505749	1
"OR"	"OR_3"	"OR-3414"	"3414"	"Erdenet_18"	15	3	0	.855696	1
"OR"	"OR_3"	"OR-5883-1?"	"5883"	"Erdenet_35"	15	3	0	.9850876	0
"OR"	"OR_3"	"OR-8433-1?"	"8433"	"Erdenet_64"	16	3	0	.6311437	1
"OR"	"OR_3"	"OR-8231-1?"	"8231"	"Erdenet_63"	16	3	0	.7736473	1
"OR"	"OR_3"	"OR-6283-1?"	"6283"	"Erdenet_37"	16	3	0	.8221276	0
"OR"	"OR_3"	"OR-10937-1?"	"10937"	"Erdenet_42"	17	3	0	.1366611	1
"OR"	"OR_3"	"OR-9811-1B"	"9811"	"Erdenet_49"	17	3	0	.6828009	1
"OR"	"OR_3"	"OR-5754-1A"	"5754"	"Erdenet_33"	17	3	0	.9252442	0
"OR"	"OR_3"	"OR-5532"	"5532"	"Erdenet_31"	18	3	0	.0377045	1
