GIS_District	cluster	no	target_fid	fin_kheseg	pair	num_in_pair	odd_pair	rand	treatment
"SKH"	1	"SKH-35547-1B"	35547	"SKH-1-3jj"	1	2	0	.1503885	1
"SKH"	1	"SKH-33678"	33678	"SKH-1-3jk"	1	2	0	.2287096	0
"SKH"	1	"SKH-21598-1B"	21598	"SKH-1-8"	2	2	0	.0380853	1
"SKH"	1	"SKH-31135-1B"	31135	"SKH-1-7"	2	2	0	.8821644	0
"SKH"	1	"SKH-5434-3B"	5434	"SKH-1-2"	3	2	0	.0879338	1
"SKH"	1	"SKH-12630"	12630	"SKH-1-9"	3	2	0	.2172672	0
"SKH"	1	"SKH-25456-1B"	25456	"SKH-1-4"	4	2	0	.2458835	1
"SKH"	1	"SKH-37209"	37209	"SKH-1-5"	4	2	0	.4462715	0
"SKH"	1	"SKH-32849-1B"	32849	"SKH-1-6"	5	2	0	.6259506	1
"SKH"	1	"SKH-21107-2B"	21107	"SKH-1-1"	5	2	0	.7490897	0
"SKH"	2	"SKH-28281"	28281	"SKH-2-2"	1	2	0	.1060498	1
"SKH"	2	"SKH-28885-1B"	28885	"SKH-2-5"	1	2	0	.9520306	0
"SKH"	2	"SKH-19306"	19306	"SKH-2-1"	2	2	0	.1297108	1
"SKH"	2	"SKH-10676-1B"	10676	"SKH-2-3"	2	2	0	.8446617	0
"SKH"	2	"SKH-39678"	39678	"SKH-2-4"	3	1	1	.3781686	1
"SKH"	3	"SKH-44190-1B"	44190	"SKH-3-1"	1	2	0	.0910829	1
"SKH"	3	"SKH-6565"	6565	"SKH-3-3"	1	2	0	.7658072	0
"SKH"	3	"SKH-26444-1B"	26444	"SKH-3-10"	2	2	0	.1937686	1
"SKH"	3	"SKH-28535-1B"	28535	"SKH-3-2"	2	2	0	.9244195	0
"SKH"	3	"SKH-3410-1B"	3410	"SKH-3-9"	3	2	0	.8216297	1
"SKH"	3	"SKH-6073-1B"	6073	"SKH-3-7"	3	2	0	.8263389	0
"SKH"	3	"SKH-12748"	12748	"SKH-3-8"	4	2	0	.0103395	1
"SKH"	3	"SKH-2814-1B"	2814	"SKH-3-5"	4	2	0	.6139139	0
"SKH"	3	"SKH-24237"	24237	"SKH-3-6"	5	2	0	.6378986	1
"SKH"	3	"SKH-7834-1B"	7834	"SKH-3-4"	5	2	0	.71645	0
"SKH"	4	"SKH-40283"	40283	"SKH-4-7"	1	2	0	.686348	1
"SKH"	4	"SKH-22337-1B"	22337	"SKH-4-3"	1	2	0	.8383814	0
"SKH"	4	"SKH-13859-1B"	13859	"SKH-4-6"	2	2	0	.3220859	1
"SKH"	4	"SKH-1315"	1315	"SKH-4-4"	2	2	0	.4390244	0
"SKH"	4	"SKH-29141"	29141	"SKH-4-8"	3	2	0	.3596744	1
"SKH"	4	"SKH-7869-2B"	7869	"SKH-4-2"	3	2	0	.8882942	0
"SKH"	4	"SKH-15180-1B"	15180	"SKH-4-5"	4	2	0	.1143774	1
"SKH"	4	"SKH-23918-1B"	23918	"SKH-4-1"	4	2	0	.3265312	0
"SKH"	5	"SKH-27652-1B"	27652	"SKH-5-8"	1	2	0	.3671072	1
"SKH"	5	"SKH-8651-1B"	8651	"SKH-5-6"	1	2	0	.7339044	0
"SKH"	5	"SKH-11666-1B"	11666	"SKH-5-5"	2	2	0	.8569051	1
"SKH"	5	"SKH-19903-1B"	19903	"SKH-5-3"	2	2	0	.8748407	0
"SKH"	5	"SKH-12665-3B"	12665	"SKH-5-11"	3	2	0	.5515876	1
"SKH"	5	"SKH-13376-1B"	13376	"SKH-5-7"	3	2	0	.7848027	0
"SKH"	5	"SKH-6209"	6209	"SKH-5-4"	4	2	0	.8353043	1
"SKH"	5	"SKH-14007-1B"	14007	"SKH-5-9"	4	2	0	.9012011	0
"SKH"	5	"SKH-7081-3A"	7081	"SKH-5-10"	5	1	1	.6349486	0
"SKH"	6	"SKH-4779-1B"	4779	"SKH-6-5"	1	2	0	.009014	1
"SKH"	6	"SKH-43838-1B"	43838	"SKH-6-4"	1	2	0	.7456071	0
"SKH"	6	"SKH-18555-1B"	18555	"SKH-6-2"	2	2	0	.2931408	1
"SKH"	6	"SKH-33335-1A"	33335	"SKH-6-3"	2	2	0	.7642059	0
"SKH"	6	"SKH-33520-1B"	33520	"SKH-6-1"	3	1	1	.7933022	0
"SKH"	7	"SKH-17416"	17416	"SKH-7-10"	1	2	0	.5424398	1
